,itemA,itemB,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
14,Spinach Peas & Pear Stage 2 Baby Food,Baby Food Stage 2 Blueberry Pear & Purple Carrot,287,0.045721168,1785,0.284363361,1949,0.310489742,0.160784314,0.147255003,0.517840984
18,Fat Free Strawberry Yogurt,Fat Free Blueberry Yogurt,263,0.041897795,2097,0.334067209,1522,0.242465566,0.125417263,0.172798949,0.517258038
252,Raspberry Yoghurt,Blueberry Yoghurt,311,0.049544541,1799,0.286593661,2103,0.335023052,0.172873819,0.147883975,0.516005743
243,Blackberry Cucumber Sparkling Water,Kiwi Sandia Sparkling Water,390,0.06212981,2403,0.382815213,2015,0.321004018,0.162297129,0.193548387,0.505592203
253,Strawberry Rhubarb Yoghurt,Blueberry Yoghurt,354,0.056394751,2126,0.338687117,2103,0.335023052,0.166509878,0.168330956,0.497010211
255,Baby Food Stage 2 Blueberry Pear & Purple Carrot,Spinach Peas & Pear Stage 2 Baby Food,258,0.041101259,1949,0.310489742,1785,0.284363361,0.132375577,0.144537815,0.465515589
20,Total 0% Raspberry Yogurt,Fat Free Strawberry Yogurt,388,0.061811195,2620,0.417384877,2097,0.334067209,0.148091603,0.185026228,0.443298831
258,Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Acai & Mixed Berries Yogurt,554,0.088256191,4170,0.664311044,1916,0.305232604,0.132853717,0.28914405,0.435254016
700,Grapefruit Sparkling Water,Lemon Sparkling Water,433,0.06898002,3082,0.490984805,2041,0.325146005,0.140493186,0.212150906,0.432092611
701,Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars,Oats & Honey Gluten Free Granola,256,0.040782644,2277,0.362742505,1703,0.27130017,0.112428634,0.150322959,0.414406796
259,Non Fat Raspberry Yogurt,Non Fat Acai & Mixed Berries Yogurt,447,0.071210321,3579,0.570160486,1916,0.305232604,0.124895222,0.233298539,0.409180475
262,Icelandic Style Skyr Blueberry Non-fat Yogurt,Nonfat Icelandic Style Strawberry Yogurt,595,0.094787787,4170,0.664311044,2274,0.362264584,0.142685851,0.261653474,0.393871931
263,Non Fat Raspberry Yogurt,Nonfat Icelandic Style Strawberry Yogurt,491,0.078219838,3579,0.570160486,2274,0.362264584,0.137189159,0.215919085,0.378698788
239,Kiwi Sandia Sparkling Water,Blackberry Cucumber Sparkling Water,292,0.046517704,2015,0.321004018,2403,0.382815213,0.144913151,0.121514773,0.378545957
247,Blueberry Yoghurt,Strawberry Rhubarb Yoghurt,265,0.042216409,2103,0.335023052,2126,0.338687117,0.126010461,0.124647225,0.372055667
267,Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Raspberry Yogurt,818,0.130313294,4170,0.664311044,3579,0.570160486,0.19616307,0.228555462,0.344048868
703,Non Fat Raspberry Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,788,0.125534077,3579,0.570160486,4170,0.664311044,0.220173233,0.188968825,0.331430938
264,Vanilla Skyr Nonfat Yogurt,Nonfat Icelandic Style Strawberry Yogurt,461,0.073440621,3892,0.620023641,2274,0.362264584,0.118448099,0.202726473,0.326965715
710,Trilogy Kombucha Drink,Synergy Organic Kombucha Gingerberry,339,0.054005142,3688,0.587524971,1891,0.301249924,0.09191974,0.179270227,0.305127843
249,Fat Free Strawberry Yogurt,Total 0% Raspberry Yogurt,265,0.042216409,2097,0.334067209,2620,0.417384877,0.126371006,0.101145038,0.302768532
704,Vanilla Skyr Nonfat Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,768,0.122347933,3892,0.620023641,4170,0.664311044,0.197327852,0.184172662,0.297041354
1035,Soda,Zero Calorie Cola,553,0.088096884,6986,1.112920133,1730,0.275601464,0.079158317,0.319653179,0.287220232
260,Vanilla Skyr Nonfat Yogurt,Non Fat Acai & Mixed Berries Yogurt,338,0.053845835,3892,0.620023641,1916,0.305232604,0.08684481,0.176409186,0.284520096
269,Nonfat Icelandic Style Strawberry Yogurt,Non Fat Raspberry Yogurt,360,0.057350594,2274,0.362264584,3579,0.570160486,0.158311346,0.100586756,0.277661026
1050,Baby Cucumbers,Packaged Grape Tomatoes,370,0.058943666,3022,0.481426373,2805,0.44685671,0.122435473,0.131907308,0.273992693
1164,Lemon Sparkling Water,Grapefruit Sparkling Water,272,0.04333156,2041,0.325146005,3082,0.490984805,0.133268006,0.08825438,0.27143
268,Vanilla Skyr Nonfat Yogurt,Non Fat Raspberry Yogurt,596,0.094947094,3892,0.620023641,3579,0.570160486,0.153134635,0.166526963,0.268581634
274,Icelandic Style Skyr Blueberry Non-fat Yogurt,Vanilla Skyr Nonfat Yogurt,691,0.110081279,4170,0.664311044,3892,0.620023641,0.165707434,0.177543679,0.267259864
1166,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt With Blueberry,1194,0.190212803,6362,1.013512437,4457,0.710032212,0.187676831,0.267893202,0.264321573
705,Nonfat Icelandic Style Strawberry Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,395,0.062926346,2274,0.362264584,4170,0.664311044,0.173702726,0.094724221,0.261478005
276,Nonfat Icelandic Style Strawberry Yogurt,Vanilla Skyr Nonfat Yogurt,358,0.057031979,2274,0.362264584,3892,0.620023641,0.157431838,0.091983556,0.253912638
1174,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach,735,0.117090796,4457,0.710032212,4214,0.671320561,0.164909132,0.174418605,0.245648862
270,Non Fat Acai & Mixed Berries Yogurt,Non Fat Raspberry Yogurt,264,0.042057102,1916,0.305232604,3579,0.570160486,0.137787056,0.073763621,0.241663636
1173,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt with Peach,1027,0.163608499,6362,1.013512437,4214,0.671320561,0.161427224,0.243711438,0.240462208
275,Non Fat Raspberry Yogurt,Vanilla Skyr Nonfat Yogurt,525,0.083636283,3579,0.570160486,3892,0.620023641,0.146689019,0.134892086,0.236586171
706,Non Fat Acai & Mixed Berries Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,282,0.044924632,1916,0.305232604,4170,0.664311044,0.147181628,0.067625899,0.221555294
1181,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,573,0.091283028,4457,0.710032212,3795,0.604570842,0.128561813,0.150988142,0.212649708
1357,Packaged Grape Tomatoes,Seedless Cucumbers,267,0.042535024,2805,0.44685671,2835,0.451635926,0.095187166,0.094179894,0.210760837
1362,Organic Summer Strawberry Bunny Fruit Snacks,Organic Bunny Fruit Snacks Berry Patch,270,0.043012945,2733,0.435386591,2948,0.46963764,0.098792536,0.091587517,0.210359067
1182,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,531,0.084592126,4214,0.671320561,3795,0.604570842,0.126008543,0.139920949,0.208426431
283,Vanilla Skyr Nonfat Yogurt,"Yogurt, Strained Low-Fat, Coconut",340,0.05416445,3892,0.620023641,2636,0.419933792,0.087358684,0.128983308,0.208029661
1167,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Lowfat Greek Strained Yogurt With Blueberry,616,0.098133238,4214,0.671320561,4457,0.710032212,0.146179402,0.138209558,0.205877141
1168,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt With Blueberry,541,0.086185198,3795,0.604570842,4457,0.710032212,0.142555995,0.121382096,0.200773982
1366,Organic Bunny Fruit Snacks Berry Patch,Organic Summer Strawberry Bunny Fruit Snacks,256,0.040782644,2948,0.46963764,2733,0.435386591,0.086838535,0.09366996,0.19945156
711,Organic Raw Kombucha Gingerade,Synergy Organic Kombucha Gingerberry,267,0.042535024,4474,0.712740434,1891,0.301249924,0.05967814,0.141195135,0.198101761
271,"Yogurt, Strained Low-Fat, Coconut",Non Fat Raspberry Yogurt,295,0.046995625,2636,0.419933792,3579,0.570160486,0.111911988,0.082425258,0.196281557
1175,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt with Peach,498,0.079334988,3795,0.604570842,4214,0.671320561,0.131225296,0.118177504,0.195473376
281,Icelandic Style Skyr Blueberry Non-fat Yogurt,"Yogurt, Strained Low-Fat, Coconut",341,0.054323757,4170,0.664311044,2636,0.419933792,0.08177458,0.129362671,0.194732079
1373,Coke Classic,Fridge Pack Cola,256,0.040782644,2231,0.355414374,3827,0.609668673,0.11474675,0.066893128,0.188211656
1375,Fridge Pack Cola,Coke Classic,254,0.04046403,3827,0.609668673,2231,0.355414374,0.066370525,0.113850291,0.186741252
1180,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,715,0.113904651,6362,1.013512437,3795,0.604570842,0.112386042,0.188405797,0.185893917
282,Non Fat Raspberry Yogurt,"Yogurt, Strained Low-Fat, Coconut",277,0.044128096,3579,0.570160486,2636,0.419933792,0.077395921,0.10508346,0.184305055
1345,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt,800,0.127445764,4457,0.710032212,6362,1.013512437,0.179492932,0.125746621,0.177099881
1377,Zero Calorie Cola,Soda,333,0.053049299,1730,0.275601464,6986,1.112920133,0.192485549,0.047666762,0.172955402
707,"Yogurt, Strained Low-Fat, Coconut",Icelandic Style Skyr Blueberry Non-fat Yogurt,301,0.047951469,2636,0.419933792,4170,0.664311044,0.114188164,0.072182254,0.171889606
277,"Yogurt, Strained Low-Fat, Coconut",Vanilla Skyr Nonfat Yogurt,278,0.044287403,2636,0.419933792,3892,0.620023641,0.105462822,0.071428571,0.170094841
1043,Apples,Clementines,459,0.073122007,2653,0.422642014,6386,1.01733581,0.173011685,0.071875979,0.170063496
1346,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% with Strawberry Lowfat Greek Strained Yogurt,712,0.11342673,4214,0.671320561,6362,1.013512437,0.168960607,0.111914492,0.166707976
1381,Organic Bell Pepper,Organic Orange Bell Pepper,281,0.044765325,5076,0.808643372,2259,0.359874976,0.05535855,0.124391324,0.153827173
1862,Clementines,Apples,410,0.065315954,6386,1.01733581,2653,0.422642014,0.064202944,0.154542028,0.15190857
1370,Organic Raw Kombucha Gingerade,Trilogy Kombucha Drink,391,0.062289117,4474,0.712740434,3688,0.587524971,0.087393831,0.106019523,0.148749135
1864,Peach Pear Flavored Sparkling Water,Sparkling Water Berry,391,0.062289117,4619,0.735839979,3707,0.590551808,0.084650357,0.105476126,0.143341119
1186,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% All Natural Greek Strained Yogurt with Honey,703,0.111992965,6362,1.013512437,4930,0.78538452,0.110499843,0.142596349,0.140695214
1169,Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Lowfat Greek Strained Yogurt With Blueberry,481,0.076626766,4930,0.78538452,4457,0.710032212,0.097565923,0.107920126,0.137410559
1928,Orange Bell Pepper,Yellow Bell Pepper,975,0.155324525,8408,1.339454978,5414,0.862489207,0.11596099,0.180088659,0.134449207
1044,0% Greek Strained Yogurt,Clementines,364,0.057987823,2696,0.429492224,6386,1.01733581,0.135014837,0.056999687,0.13271413
1176,Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Lowfat Greek Strained Yogurt with Peach,439,0.069935863,4930,0.78538452,4214,0.671320561,0.089046653,0.104176554,0.132644013
2486,Pineapple Chunks,Mango Chunks,414,0.065953183,5298,0.844009571,3767,0.600110241,0.078142695,0.109901779,0.130213901
1036,Soda,Crunchy Oats 'n Honey Granola Bars,261,0.04157918,6986,1.112920133,1805,0.287549505,0.037360435,0.144598338,0.129926968
250,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 0% Raspberry Yogurt,345,0.054960986,6362,1.013512437,2620,0.417384877,0.05422823,0.131679389,0.129923802
1183,Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,386,0.061492581,4930,0.78538452,3795,0.604570842,0.078296146,0.10171278,0.129506983
2509,Organic Whole Strawberries,Organic Sliced Peaches,309,0.049225926,6814,1.085519294,2220,0.353661995,0.045347813,0.139189189,0.128223598
2735,Sparkling Water Berry,Peach Pear Flavored Sparkling Water,345,0.054960986,3707,0.590551808,4619,0.735839979,0.09306717,0.074691492,0.126477458
1038,Clementines,Trail Mix,325,0.051774842,6386,1.01733581,2552,0.406551987,0.050892578,0.127351097,0.125180983
2514,Organic Whole Strawberries,Organic Frozen Mango Chunks,298,0.047473547,6814,1.085519294,2270,0.361627355,0.04373349,0.131277533,0.120935237
712,Trilogy Kombucha Drink,Organic Raw Kombucha Gingerade,304,0.04842939,3688,0.587524971,4474,0.712740434,0.082429501,0.067948145,0.115651501
2515,Frozen Organic Wild Blueberries,Organic Frozen Mango Chunks,269,0.042853638,6551,1.043621499,2270,0.361627355,0.041062433,0.118502203,0.113549024
1040,Clementines,0% Greek Strained Yogurt,307,0.048907312,6386,1.01733581,2696,0.429492224,0.048073912,0.113872404,0.111931972
1347,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% with Strawberry Lowfat Greek Strained Yogurt,421,0.067068333,3795,0.604570842,6362,1.013512437,0.110935441,0.066174159,0.109456418
2520,Organic Whole Strawberries,Frozen Organic Wild Blueberries,768,0.122347933,6814,1.085519294,6551,1.043621499,0.112709128,0.11723401,0.10799809
1865,Sparkling Lemon Water,Sparkling Water Berry,457,0.072803393,7178,1.143507116,3707,0.590551808,0.06366676,0.123280281,0.107808932
1045,Trail Mix,Clementines,276,0.043968789,2552,0.406551987,6386,1.01733581,0.10815047,0.043219543,0.106307543
1187,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% All Natural Greek Strained Yogurt with Honey,366,0.058306437,4457,0.710032212,4930,0.78538452,0.082118017,0.074239351,0.104557722
1348,Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% with Strawberry Lowfat Greek Strained Yogurt,521,0.082999054,4930,0.78538452,6362,1.013512437,0.105679513,0.081892487,0.104270564
2540,Mango Chunks,Pineapple Chunks,330,0.052571378,3767,0.600110241,5298,0.844009571,0.087602867,0.062287656,0.103793689
1873,Lime Sparkling Water,Sparkling Lemon Water,1148,0.182884671,10007,1.594187199,7178,1.143507116,0.114719696,0.159933129,0.100322678
3120,Sparkling Water Grapefruit,All Natural Apricot Sparkling Water,310,0.049385233,16368,2.607540329,1204,0.191805875,0.018939394,0.257475083,0.098742512
1188,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% All Natural Greek Strained Yogurt with Honey,326,0.051934149,4214,0.671320561,4930,0.78538452,0.077361177,0.066125761,0.098501021
2494,Frozen Organic Wild Blueberries,Organic Whole Strawberries,700,0.111515043,6551,1.043621499,6814,1.085519294,0.106853915,0.102729674,0.098435759
1866,Lime Sparkling Water,Sparkling Water Berry,572,0.091123721,10007,1.594187199,3707,0.590551808,0.057159988,0.154302671,0.09679081
1379,0% Greek Strained Yogurt,Soda,288,0.045880475,2696,0.429492224,6986,1.112920133,0.106824926,0.041225308,0.095986156
1037,Soda,Trail Mix,260,0.041419873,6986,1.112920133,2552,0.406551987,0.037217292,0.101880878,0.091543746
3704,Organic Black Beans,Organic Pinto Beans,280,0.044606017,8233,1.311576217,2358,0.375646389,0.034009474,0.118744699,0.090535874
1867,Sparkling Water Grapefruit,Sparkling Water Berry,875,0.139393804,16368,2.607540329,3707,0.590551808,0.053457967,0.236039924,0.090522061
1039,Soda,0% Greek Strained Yogurt,267,0.042535024,6986,1.112920133,2696,0.429492224,0.038219296,0.099035608,0.088987166
1051,Hass Avocados,Packaged Grape Tomatoes,409,0.065156647,10605,1.689452907,2805,0.44685671,0.038566714,0.145811052,0.086306668
3802,Raspberries,Blackberries,779,0.124100313,12376,1.971585967,4828,0.769135185,0.062944409,0.161350456,0.0818379
2738,Sparkling Water Grapefruit,Peach Pear Flavored Sparkling Water,976,0.155483832,16368,2.607540329,4619,0.735839979,0.059628543,0.211301147,0.081034661
3838,Organic Zucchini,Organic Yellow Squash,688,0.109603357,22466,3.578995664,2402,0.382655906,0.030624054,0.286427977,0.080030266
2809,Sparkling Lemon Water,Orange Sparkling Water,282,0.044924632,7178,1.143507116,3087,0.491781341,0.039286709,0.091350826,0.079886539
2818,Lime Sparkling Water,Cran Raspberry Sparkling Water,284,0.045243246,10007,1.594187199,2244,0.357485368,0.028380134,0.126559715,0.079388239
1945,Organic Red Bell Pepper,Organic Bell Pepper,792,0.126171306,12480,1.988153916,5076,0.808643372,0.063461538,0.156028369,0.078479019
1872,Sparkling Water Berry,Sparkling Lemon Water,329,0.05241207,3707,0.590551808,7178,1.143507116,0.088751012,0.045834494,0.077612995
2736,Sparkling Lemon Water,Peach Pear Flavored Sparkling Water,406,0.064678725,7178,1.143507116,4619,0.735839979,0.056561716,0.087897813,0.07686687
4977,100% Recycled Paper Towels,Sustainably Soft Bath Tissue,285,0.045402553,5925,0.943895189,3944,0.628307616,0.048101266,0.072261663,0.076556872
238,Sparkling Water Grapefruit,Curate Melon Pomelo Sparking Water,301,0.047951469,16368,2.607540329,1512,0.240872494,0.018389541,0.199074074,0.07634554
2737,Lime Sparkling Water,Peach Pear Flavored Sparkling Water,560,0.089212035,10007,1.594187199,4619,0.735839979,0.055960827,0.121238363,0.076050268
1358,Hass Avocados,Seedless Cucumbers,364,0.057987823,10605,1.689452907,2835,0.451635926,0.034323432,0.128395062,0.075998012
4983,Sustainably Soft Bath Tissue,100% Recycled Paper Towels,281,0.044765325,3944,0.628307616,5925,0.943895189,0.071247465,0.04742616,0.07548239
1868,Pure Sparkling Water,Sparkling Water Berry,267,0.042535024,6152,0.980057924,3707,0.590551808,0.04340052,0.072025897,0.073491469
4421,Yellow Bell Pepper,Orange Bell Pepper,528,0.084114204,5414,0.862489207,8408,1.339454978,0.097524935,0.062797336,0.072809416
3793,Hass Avocados,Rainbow Bell Peppers,301,0.047951469,10605,1.689452907,2472,0.39380741,0.028382838,0.121763754,0.07207289
1382,Organic Red Bell Pepper,Organic Orange Bell Pepper,321,0.051137613,12480,1.988153916,2259,0.359874976,0.025721154,0.142098274,0.071472471
1055,Baby Cucumbers,Hass Avocados,356,0.056713365,3022,0.481426373,10605,1.689452907,0.11780278,0.033569071,0.069728359
1874,Sparkling Water Grapefruit,Sparkling Lemon Water,1286,0.204869065,16368,2.607540329,7178,1.143507116,0.078567937,0.17915854,0.068707869
1886,Sparkling Water Grapefruit,Lime Sparkling Water,1754,0.279424837,16368,2.607540329,10007,1.594187199,0.107160313,0.175277306,0.067219404
3797,Hass Avocados,Baby Cucumbers,340,0.05416445,10605,1.689452907,3022,0.481426373,0.032060349,0.112508273,0.066594501
2538,Organic Whole Strawberries,Pineapple Chunks,378,0.060218123,6814,1.085519294,5298,0.844009571,0.055474024,0.071347678,0.065726771
1875,Pure Sparkling Water,Sparkling Lemon Water,462,0.073599929,6152,0.980057924,7178,1.143507116,0.075097529,0.064363332,0.065672988
1056,Packaged Grape Tomatoes,Hass Avocados,304,0.04842939,2805,0.44685671,10605,1.689452907,0.108377897,0.028665724,0.0641497
1885,Sparkling Lemon Water,Lime Sparkling Water,725,0.115497724,7178,1.143507116,10007,1.594187199,0.101003065,0.072449286,0.063357092
2819,Sparkling Water Grapefruit,Cran Raspberry Sparkling Water,368,0.058625051,16368,2.607540329,2244,0.357485368,0.022482893,0.16399287,0.062891787
2810,Lime Sparkling Water,Orange Sparkling Water,303,0.048270083,10007,1.594187199,3087,0.491781341,0.030278805,0.098153547,0.06156965
244,Sparkling Water Grapefruit,Kiwi Sandia Sparkling Water,321,0.051137613,16368,2.607540329,2015,0.321004018,0.019611437,0.159305211,0.061094054
1871,Peach Pear Flavored Sparkling Water,Sparkling Lemon Water,322,0.05129692,4619,0.735839979,7178,1.143507116,0.069712059,0.044859292,0.06096338
4992,Strawberries,Medium Scarlet Raspberries,303,0.048270083,30470,4.854090531,1083,0.172529703,0.009944207,0.279778393,0.057637655
240,Sparkling Water Grapefruit,Blackberry Cucumber Sparkling Water,356,0.056713365,16368,2.607540329,2403,0.382815213,0.021749756,0.148148148,0.056815285
5138,"Milk, Organic, Vitamin D",Organic Large Brown Grade AA Cage Free Eggs,268,0.042694331,4287,0.682949987,6930,1.103998929,0.062514579,0.038672439,0.056625579
3844,Organic Zucchini,Yellow Straightneck Squash,270,0.043012945,22466,3.578995664,1347,0.214586805,0.012018161,0.200445434,0.056006057
1931,Red Peppers,Yellow Bell Pepper,574,0.091442336,11889,1.894003358,5414,0.862489207,0.048279923,0.106021426,0.055977422
5146,Organic Italian Parsley Bunch,Organic Dill,397,0.06324496,13009,2.072427428,3431,0.54658302,0.030517334,0.115709706,0.055832935
1884,Sparkling Water Berry,Lime Sparkling Water,319,0.050818998,3707,0.590551808,10007,1.594187199,0.086053412,0.031877686,0.05397949
3794,Raspberries,Rainbow Bell Peppers,262,0.041738488,12376,1.971585967,2472,0.39380741,0.021170006,0.105987055,0.053757258
2813,Sparkling Lemon Water,Pure Sparkling Water,372,0.05926228,7178,1.143507116,6152,0.980057924,0.051825021,0.06046814,0.052879549
2493,Pineapple Chunks,Organic Whole Strawberries,304,0.04842939,5298,0.844009571,6814,1.085519294,0.057380143,0.04461403,0.052859626
1052,Raspberries,Packaged Grape Tomatoes,288,0.045880475,12376,1.971585967,2805,0.44685671,0.023270847,0.102673797,0.052076754
1067,Baby Cucumbers,Raspberries,307,0.048907312,3022,0.481426373,12376,1.971585967,0.101588352,0.024806076,0.05152621
1042,Soda,Clementines,362,0.057669208,6986,1.112920133,6386,1.01733581,0.051817922,0.056686502,0.050934923
5182,Organic Cilantro,Organic Jalapeno Pepper,530,0.084432819,14861,2.367464371,4398,0.700633087,0.035663818,0.120509322,0.050902275
1943,Orange Bell Pepper,Organic Bell Pepper,346,0.055120293,8408,1.339454978,5076,0.808643372,0.041151284,0.068163909,0.050889287
5195,Garlic,Fresh Ginger Root,330,0.052571378,7943,1.265377128,5165,0.822821713,0.041546015,0.063891578,0.050492123
2539,Frozen Organic Wild Blueberries,Pineapple Chunks,273,0.043490867,6551,1.043621499,5298,0.844009571,0.041673027,0.051528879,0.049375065
1388,Organic Bell Pepper,Organic Red Bell Pepper,493,0.078538452,5076,0.808643372,12480,1.988153916,0.097123719,0.039503205,0.048851207
1359,Raspberries,Seedless Cucumbers,273,0.043490867,12376,1.971585967,2835,0.451635926,0.022058824,0.096296296,0.048842048
1883,Peach Pear Flavored Sparkling Water,Lime Sparkling Water,356,0.056713365,4619,0.735839979,10007,1.594187199,0.07707296,0.035575097,0.048346242
3708,Organic Black Beans,Organic Garbanzo Beans,410,0.065315954,8233,1.311576217,6550,1.043462192,0.049799587,0.06259542,0.047725339
1071,Blackberries,Raspberries,452,0.072006857,4828,0.769135185,12376,1.971585967,0.093620547,0.036522301,0.047484892
1378,Clementines,Soda,335,0.053367914,6386,1.01733581,6986,1.112920133,0.052458503,0.047953049,0.04713591
5206,Original Hummus,Sea Salt Pita Chips,415,0.06611249,15362,2.447277281,3633,0.578763075,0.027014712,0.114230663,0.046676633
1046,Hass Avocados,Clementines,500,0.079653602,10605,1.689452907,6386,1.01733581,0.047147572,0.078296273,0.046344158
5155,Organic Italian Parsley Bunch,Organic Thyme,398,0.063404268,13009,2.072427428,4176,0.665266887,0.030594204,0.095306513,0.045987865
2815,Sparkling Water Grapefruit,Pure Sparkling Water,732,0.116612874,16368,2.607540329,6152,0.980057924,0.044721408,0.118985696,0.045631392
2814,Lime Sparkling Water,Pure Sparkling Water,447,0.071210321,10007,1.594187199,6152,0.980057924,0.044668732,0.072659298,0.045577645
1887,Pure Sparkling Water,Lime Sparkling Water,446,0.071051013,6152,0.980057924,10007,1.594187199,0.072496749,0.044568802,0.045475681
2811,Sparkling Water Grapefruit,Orange Sparkling Water,363,0.057828515,16368,2.607540329,3087,0.491781341,0.022177419,0.117589893,0.045096098
4423,Red Peppers,Orange Bell Pepper,717,0.114223266,11889,1.894003358,8408,1.339454978,0.060307848,0.085275928,0.045024169
3798,Raspberries,Baby Cucumbers,266,0.042375716,12376,1.971585967,3022,0.481426373,0.021493213,0.088021178,0.044644859
4839,Jalapeno Peppers,Bunched Cilantro,621,0.098929774,9115,1.452085172,9765,1.555634855,0.068129457,0.06359447,0.043795275
1900,Sparkling Water Berry,Sparkling Water Grapefruit,423,0.067386948,3707,0.590551808,16368,2.607540329,0.114108443,0.025843109,0.043760951
1902,Lime Sparkling Water,Sparkling Water Grapefruit,1132,0.180335756,10007,1.594187199,16368,2.607540329,0.113120815,0.069159335,0.043382192
